company name,category,based in,tags,total funding,founded,website,company status
Sourceai,France,Paris,"Artificial Intelligence, Cyber Security, Developer Tools, Machine Learning, Q&A, SaaS, Software, Web Apps",Between €1-€100K,2021,https://sourceai.dev/,
Sourcebirds,Denmark,"Copenhagen, Denmark","Trade-shows, factories search, alibaba",No funding announced yet,2022,https://www.sourcebirds.com,
Sourced,Spain,Madrid,"Analytics, Artificial Intelligence, Machine Learning, Open Source, Software, Software Engineering",Between €5 million-€10 million,2015,http://sourced.tech/,
Sourcee,UK,London,"Public Relations, SaaS, Productivity",No funding announced yet,2022,https://www.sourcee.app/,
Sourcegeek,Netherlands,Maarssen,"ai,recruitment,hr,sourcing",No funding announced yet,2024,https://www.sourcegeek.com/,Active
Sourceless,Romania,Constanta,"blogs, chat, articles, events, forums",No funding announced yet,2020,https://source-less.com/,
Sourcely,France,Paris,"AI research tool, academic research, citation generation",Between €2.5 million-5 million,2024,https://www.sourcely.net/,Active
Sourcemate,Italy,Milan,"IT Services, IT Consulting, ICT training",No funding announced yet,2022,https://www.sourcemate.it/,
Sourceme,Sweden,Stockholm,"search platform, directory, b2b marketplace",No funding announced yet,2020,https://sourceme.com,
Sourcert,Germany,Berlin,"agile, dfss, prototype, startups",No funding announced yet,2021,www.sourceRT.com,
Sourcific Consulting,UK,London,"Artificial Intelligence, Big Data, Management Consulting",No funding announced yet,2020,https://sourcificconsulting.co.uk/,
Sourcing Playground,UK,United Kingdom,,,2017,https://sourcingplayground.com,
Sourcingbot,Germany,Berlin,"graph, database, machine learning",,2017,https://sourcingbot.com,
Sous,Netherlands,Amsterdam,"food delivery, Food and Beverage, ecommerce",Between €500K-€ 1 million,2022,https://eatsous.com/,
South Grown,UK,London,"Medical Cannabis, Retail, CBD Products, Natural Products, Therapeutics",Between €1 million-€ 2.5 million,2017,www.southgrown.com,
Southern Lights,Sweden,Stockholm,Energy,Between €1 million-€ 2.5 million,2022,https://www.southernlights.io/,Active
Sowieso Helder,Netherlands,Halfweg,"Advertising, Consulting, Event Promotion",No funding announced yet,2017,Halfweg,
Soy Luzia,Spain,Manzanares,"Technology, Information and Internet",No funding announced yet,2023,https://www.luzia.com/,Active
Soyguiri,Spain,Malaga,Education,Between €1 million-€ 2.5 million,2019,https://soyguiri.com/,Active
Sozie,UK,London,"E-Commerce, Retail Technology",Between €500K-€ 1 million,2017,http://www.sozie.com/,
Sp Spareparts,Ireland,Dublin,"equipment, time, money, manufacturer, OEM",No funding announced yet,2018,https://www.sp-spareparts.com/en,
Sp Tech Solutions,Poland,Torun,"IT Services, IT Consulting, Solutions Enabling Optimization",Between €2.5 million-5 million,2019,https://www.sptech.pl/,Active
Spa Huset,Norway,Ski,"whirlpools, spa, pools",,2019,https://spa-huset.no,
Space Forge,UK,Bristol,"Hardware, Robotics, Mining Technology, Software",Between €10 million-€25 million,2018,https://spaceforge.co.uk/,
Space Frontier,Italy,Naples,Aerotech,Above €25 million,2023,http://spacefrontier.eu/,Active
